CampsiteID,FacilityID,CampsiteName,CampsiteType,TypeOfUse,Loop,CampsiteAccessible,CampsiteLongitude,CampsiteLatitude,CreatedDate,LastUpdatedDate
23105,232530,B16,STANDARD ELECTRIC,Overnight,B,FALSE,-90.788786,37.184554,5/2/2014,8/18/2020
27004,232531,12,STANDARD ELECTRIC,Overnight,BMIL,FALSE,-83.952179,34.336023,5/2/2014,8/18/2020
34025,232534,T209,TENT ONLY NONELECTRIC,Overnight,T2,FALSE,-94.53966,32.74175,5/2/2014,8/18/2020
26012,232535,A12,STANDARD ELECTRIC,Overnight,ALOO,FALSE,-92.79612,36.488245,5/2/2014,8/18/2020
54011,232536,E108,RV ELECTRIC,Overnight,R1,FALSE,-94.49752,32.757358,5/2/2014,8/18/2020
13804,232537,31,STANDARD ELECTRIC,Overnight,BMIL,FALSE,-87.886075,36.61933,5/2/2014,8/18/2020
73940,232538,1,GROUP SHELTER NONELECTRIC,Day,CADI,TRUE,-87.840998,36.859412,5/2/2014,8/18/2020
26003,232539,21,STANDARD ELECTRIC,Overnight,CAGES BEND ,FALSE,-86.51413,36.303688,5/2/2014,8/18/2020
27005,232540,21,STANDARD ELECTRIC,Overnight,CAMPBELL POINT ,FALSE,-93.549508,36.596097,5/2/2014,8/18/2020
17139,232541,117,STANDARD ELECTRIC,Overnight,VIEW,TRUE,-88.213832,36.995144,5/2/2014,8/18/2020
15443,232542,13,STANDARD ELECTRIC,Overnight,CAPE FAIR ,FALSE,-93.528225,36.721157,5/2/2014,8/18/2020
47106,232543,6,STANDARD ELECTRIC,Overnight,CARTER COVE ,FALSE,-93.238671,34.961736,5/2/2014,8/18/2020
26004,232544,62,STANDARD ELECTRIC,Overnight,CEDAR BREAKS PARK ,FALSE,-97.738517,30.673134,5/2/2014,8/18/2020
52003,232545,14,STANDARD ELECTRIC,Overnight,CEDAR CREEK,FALSE,-86.509686,36.27744,5/2/2014,8/18/2020
9822,232546,16,STANDARD ELECTRIC,Overnight,SECO,FALSE,-97.439408,31.167798,5/2/2014,8/18/2020
71019,232547,16,STANDARD ELECTRIC,Overnight,CEDRON CREEK ,FALSE,-97.413129,31.961821,5/2/2014,8/18/2020
33006,232548,3,STANDARD ELECTRIC,Overnight,CCRE,TRUE,-87.271103,32.142924,5/2/2014,8/18/2020
21716,232549,A17,STANDARD ELECTRIC,Overnight,A,FALSE,-92.382431,35.532025,5/2/2014,8/18/2020
11845,232552,21,STANDARD ELECTRIC,Overnight,CLEAR LAKE,FALSE,-96.488379,33.055312,5/2/2014,8/18/2020
69083,232553,D03,STANDARD ELECTRIC,Overnight,DLOO,FALSE,-94.194321,33.356274,5/2/2014,8/18/2020
32795,232556,COOK1,GROUP SHELTER ELECTRIC,Day,COOK,FALSE,-86.603182,36.136598,5/2/2014,8/18/2020
55002,232557,27,STANDARD ELECTRIC,Overnight,L#2,FALSE,-98.498722,31.969865,5/2/2014,8/18/2020
23167,232558,20,STANDARD ELECTRIC,Overnight,COSSATOT REEFS ,FALSE,-94.22768,34.203944,5/2/2014,8/18/2020
69010,232559,102,TENT ONLY ELECTRIC,Overnight,PINE,FALSE,-85.066907,31.67609,5/2/2014,8/18/2020
55050,232560,63,STANDARD ELECTRIC,Overnight,CRANFIELD PARK ,FALSE,-92.320068,36.408851,5/2/2014,8/18/2020
21732,232561,LOOP A Sites 1-10,GROUP STANDARD ELECTRIC,Overnight,CRESCENT,FALSE,-82.818546,34.380273,5/2/2014,8/18/2020
33032,232562,14,STANDARD ELECTRIC,Overnight,CRICKET CREEK ,FALSE,-93.295302,36.484774,5/2/2014,8/18/2020
25022,232563,21,STANDARD ELECTRIC,Overnight,CPOI,FALSE,-84.840221,36.9665,5/2/2014,8/18/2020
73027,232564,2,STANDARD ELECTRIC,Overnight,Dale Hollow Damsite,FALSE,-85.458021,36.537991,5/2/2014,8/18/2020
70005,232565,38,STANDARD ELECTRIC,Overnight,DAM-QUARRY,FALSE,-92.246844,36.247798,5/2/2014,8/18/2020
11617,232566,P3,TENT ONLY NONELECTRIC,Overnight,WALK,FALSE,-83.471583,37.344586,5/2/2014,8/18/2020
70006,232567,G10,STANDARD NONELECTRIC,Overnight,G,FALSE,-92.005434,35.526254,5/2/2014,8/18/2020
41059,232568,33,STANDARD ELECTRIC,Overnight,ISAAC CREEK ,TRUE,-87.550345,31.625209,5/2/2014,8/18/2020
73003,232569,6,STANDARD ELECTRIC,Overnight,DFOS,FALSE,-87.86843,32.512962,5/2/2014,8/18/2020
19794,232570,5,STANDARD ELECTRIC,Overnight,FIRS,FALSE,-97.608374,31.01894,5/2/2014,8/18/2020
14237,232571,11,STANDARD ELECTRIC,Overnight,TPIN,FALSE,-87.436954,33.257625,5/2/2014,8/18/2020
43005,232572,105,STANDARD ELECTRIC,Overnight,LAKE,FALSE,-85.908414,36.300007,5/2/2014,8/18/2020
52040,232573,D07,STANDARD ELECTRIC,Overnight,D,FALSE,-92.182629,35.585997,5/2/2014,8/18/2020
36003,232574,56,STANDARD ELECTRIC,Overnight,BFLA,FALSE,-88.47649,33.594025,5/2/2014,8/18/2020
