City,Wiki_String,img_url
Denver ,Denver,//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Denver_skyline.jpg/266px-Denver_skyline.jpg
Colorado Springs ,"Colorado_Springs,_Colorado",//upload.wikimedia.org/wikipedia/commons/thumb/4/45/CC_COSPRINGS.jpg/300px-CC_COSPRINGS.jpg
Fort Collins ,"Fort_Collins,_Colorado",//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Downtown_Fort_Collins_Colorado.jpg/250px-Downtown_Fort_Collins_Colorado.jpg
Aspen,"Aspen,_Colorado",//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Downtown_of_Aspen%2C_Colorado.jpg/280px-Downtown_of_Aspen%2C_Colorado.jpg
Vail,"Vail,_Colorado",//upload.wikimedia.org/wikipedia/commons/thumb/5/59/Vail_front_side.jpg/266px-Vail_front_side.jpg
Breckenridge,"Breckenridge,_Colorado",//upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Breckenridge_Main_Street.jpg/300px-Breckenridge_Main_Street.jpg
Bridgeport ,"Bridgeport,_Connecticut",//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/BridgeportCT_DowntownSouthHD_1.jpg/290px-BridgeportCT_DowntownSouthHD_1.jpg
New Haven ,"New_Haven,_Connecticut",//upload.wikimedia.org/wikipedia/commons/thumb/1/16/East_Rock_from_SSS_Hall%2C_October_17%2C_2008.jpg/125px-East_Rock_from_SSS_Hall%2C_October_17%2C_2008.jpg
Stamford ,"Stamford,_Connecticut",//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Stamford_Connecticut_Skyline_Aug_2017.jpg/280px-Stamford_Connecticut_Skyline_Aug_2017.jpg
Hartford ,"Hartford,_Connecticut",//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Hartford_Skyline_from_Great_River_Park_%28Cropped%29.jpg/300px-Hartford_Skyline_from_Great_River_Park_%28Cropped%29.jpg
Wilmington ,"Wilmington,_Delaware",//upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Wilmington_Delaware_skyline.jpg/250px-Wilmington_Delaware_skyline.jpg
Washington ,"Washington,_D.C.",//upload.wikimedia.org/wikipedia/commons/thumb/4/49/North_America_laea_relief_location_map.jpg/250px-North_America_laea_relief_location_map.jpg
Jacksonville ,"Jacksonville,_Florida",//upload.wikimedia.org/wikipedia/commons/thumb/e/ed/USA_Florida_relief_location_map.jpg/250px-USA_Florida_relief_location_map.jpg
Miami ,Miami,//upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Miami_collage_20110330.jpg/300px-Miami_collage_20110330.jpg
Tampa ,"Tampa,_Florida",//upload.wikimedia.org/wikipedia/commons/thumb/3/39/Fortbrooke.jpg/220px-Fortbrooke.jpg
Orlando ,"Orlando,_Florida",//upload.wikimedia.org/wikipedia/commons/thumb/8/81/Orlando_collage.jpg/300px-Orlando_collage.jpg
St. Petersburg ,"St._Petersburg,_Florida",//upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Central_Avenue%2C_Looking_West%2C_St._Petersburg%2C_FL.jpg/220px-Central_Avenue%2C_Looking_West%2C_St._Petersburg%2C_FL.jpg
Naples,"Naples,_Florida",//upload.wikimedia.org/wikipedia/commons/thumb/f/f4/I_Naples%2C_FL.jpg/284px-I_Naples%2C_FL.jpg
Fort Meyers,"Fort_Meyers,_Florida",//upload.wikimedia.org/wikipedia/commons/thumb/6/63/Fort_Myers_FL_Downtown_HD_1933_crths_pano01.jpg/250px-Fort_Myers_FL_Downtown_HD_1933_crths_pano01.jpg
Destin,"Destin,_Florida",//upload.wikimedia.org/wikipedia/commons/thumb/7/70/Destinflorida.jpg/250px-Destinflorida.jpg
St. Augustine,"St._Augustine,_Florida",//upload.wikimedia.org/wikipedia/commons/thumb/d/d7/San_Marco_Hotel.jpg/220px-San_Marco_Hotel.jpg
