STATE_NAME,CITY,POP_EST_19,STATE_CODE,LATITUDE,LONGITUDE,REGION,REGION4
Missouri,Saint Louis,"300,576",MO,38.642574,-90.324189,West North Central,Midwest
Montana,Billings,"109,577",MT,45.774489,-108.500452,Mountain,West
Nebraska,Lincoln,"289,102",NE,40.8169,-96.7103,West North Central,Midwest
Nebraska,Omaha,"478,192",NE,41.261,-95.9376,West North Central,Midwest
Nevada,Las Vegas,"651,319",NV,36.172082,-115.122366,Mountain,West
Nevada,Reno,"255,601",NV,39.526812,-119.811275,Mountain,West
New Hampshire,Manchester,"112,673",NH,42.992858,-71.463255,New England,Northeast
New Jersey,Atlantic City,"37,743",NJ,39.366411,-74.431727,Middle Atlantic,Northeast
New Jersey,Newark,"282,011",NJ,40.7308,-74.1744,Middle Atlantic,Northeast
New Mexico,Albuquerque,"560,513",NM,35.0936,-106.6423,Mountain,West
New Mexico,Santa Fe,"84,683",NM,35.702472,-105.974818,Mountain,West
New York,Buffalo,"255,284",NY,42.896659,-78.884575,Middle Atlantic,Northeast
New York,New York,"8,336,817",NY,40.74838,-73.996705,Middle Atlantic,Northeast
New York,Niagara Falls,"47,720",NY,43.095467,-79.041443,Middle Atlantic,Northeast
New York,Rochester,"205,695",NY,43.1683,-77.6026,Middle Atlantic,Northeast
North Carolina,Asheville,"92,870",NC,35.597075,-82.556533,South Atlantic,South
North Carolina,Charlotte,"885,708",NC,35.2269,-80.8433,South Atlantic,South
North Carolina,Durham,"278,993",NC,35.996725,-78.896613,South Atlantic,South
North Carolina,Greensboro,"296,710",NC,36.0726,-79.792,South Atlantic,South
North Carolina,Raleigh,"474,069",NC,35.772701,-78.632439,South Atlantic,South
North Carolina,Winston Salem,"247,945",NC,36.10237,-80.222798,South Atlantic,South
North Dakota,Fargo,"124,662",ND,46.900878,-96.793577,West North Central,Midwest
Ohio,Cincinnati,"303,940",OH,39.091293,-84.277383,East North Central,Midwest
Ohio,Cleveland,"381,009",OH,41.4918,-81.6757,East North Central,Midwest
Ohio,Columbus,"898,553",OH,40.1444,-82.9789,East North Central,Midwest
Oklahoma,Oklahoma City,"655,057",OK,35.3337,-97.4922,West South Central,South
Oklahoma,Tulsa,"401,190",OK,36.05566,-96.060229,West South Central,South
Oregon,Eugene,"172,622",OR,44.073677,-123.078757,Pacific,West
Oregon,Portland,"654,741",OR,45.442919,-122.615092,Pacific,West
Oregon,Salem,"174,365",OR,44.926039,-122.979692,Pacific,West
Pennsylvania,Philadelphia,"1,584,064",PA,39.864998,-75.275196,Middle Atlantic,Northeast
Pennsylvania,Pittsburgh,"300,286",PA,40.474536,-79.952524,Middle Atlantic,Northeast
Rhode Island,Providence,"179,883",RI,41.8255,-71.4114,New England,Northeast
South Carolina,Charleston,"137,566",SC,32.962223,-79.86533,South Atlantic,South
South Carolina,Columbia,"131,674",SC,34.072613,-81.179617,South Atlantic,South
South Carolina,Greenville,"70,635",SC,34.847165,-82.406049,South Atlantic,South
South Carolina,Hilton Head Island,"39,861",SC,32.1632,-80.7533,South Atlantic,South
South Carolina,Myrtle Beach,"34,695",SC,33.758701,-78.804448,South Atlantic,South
South Dakota,Rapid City,"77,503",SD,44.077041,-103.200259,West North Central,Midwest
South Dakota,Sioux Falls,"183,793",SD,43.488,-96.7343,West North Central,Midwest
Tennessee,Chattanooga,"182,799",TN,35.0455,-85.3081,East South Central,South
Tennessee,Gatlinburg,"3,860",TN,35.728976,-83.487406,East South Central,South
Tennessee,Knoxville,"187,603",TN,35.9609,-83.9189,East South Central,South
Tennessee,Memphis,"651,073",TN,35.0337,-89.9343,East South Central,South
Tennessee,Nashville,"670,820",TN,36.167028,-86.778441,East South Central,South
Texas,Amarillo,"199,371",TX,35.203238,-101.842052,West South Central,South
Texas,Austin,"978,908",TX,30.210692,-97.942749,West South Central,South
Texas,Dallas,"1,343,573",TX,32.996848,-96.792113,West South Central,South
Texas,El Paso,"681,728",TX,31.758411,-106.478311,West South Central,South
Texas,Fort Worth,"909,585",TX,32.7469,-97.3268,West South Central,South
Texas,Houston,"2,320,268",TX,29.596156,-95.458709,West South Central,South
Texas,San Antonio,"1,547,253",TX,29.468525,-98.526352,West South Central,South
Utah,Park City,"8,526",UT,40.695724,-111.528021,Mountain,West
Utah,Provo,"116,618",UT,40.231949,-111.675504,Mountain,West
Utah,Salt Lake City,"200,567",UT,40.755851,-111.896657,Mountain,West
Vermont,Burlington,"42,819",VT,44.484023,-73.219875,New England,Northeast
Virginia,Chesapeake,"244,835",VA,36.735246,-76.23843,South Atlantic,South
Virginia,Norfolk,"242,742",VA,36.8466,-76.2855,South Atlantic,South
Virginia,Richmond,"230,436",VA,37.453158,-77.469798,South Atlantic,South
Virginia,Virginia Beach,"449,974",VA,36.8527,-75.9783,South Atlantic,South
Virginia,Williamsburg,"14,954",VA,37.262698,-76.701686,South Atlantic,South
Washington,Seattle,"753,675",WA,47.611435,-122.330456,Pacific,West
Washington,Spokane,"222,081",WA,47.666485,-117.436527,Pacific,West
Washington,Tacoma,"217,827",WA,47.2764,-122.7583,Pacific,West
West Virginia,Charleston,"46,536",WV,38.349,-81.630606,South Atlantic,South
Wisconsin,Green Bay,"104,578",WI,44.485313,-88.016868,East North Central,Midwest
Wisconsin,Madison,"259,680",WI,43.073,-89.3817,East North Central,Midwest
Wisconsin,Milwaukee,"590,157",WI,43.0343,-87.9151,East North Central,Midwest
Wyoming,Cheyenne,"64,235",WY,41.143719,-104.796234,Mountain,West
Wyoming,Jackson,"10,559",WY,43.460734,-110.766277,Mountain,West
