STATE_NAME,CITY,POP_EST_19,STATE_CODE,LATITUDE,LONGITUDE
North Carolina,Raleigh,"474,069",NC,35.772701,-78.632439
North Carolina,Winston Salem,"247,945",NC,36.10237,-80.222798
North Dakota,Fargo,"124,662",ND,46.900878000000006,-96.793577
Ohio,Cincinnati,"303,940",OH,39.091293,-84.277383
Ohio,Cleveland,"381,009",OH,41.4918,-81.6757
Ohio,Columbus,"898,553",OH,40.1444,-82.9789
Oklahoma,Oklahoma City,"655,057",OK,35.3337,-97.4922
Oklahoma,Tulsa,"401,190",OK,36.055659999999996,-96.060229
Oregon,Eugene,"172,622",OR,44.073677,-123.07875700000001
Oregon,Portland,"654,741",OR,45.442919,-122.61509199999999
Oregon,Salem,"174,365",OR,44.926039,-122.97969199999999
Pennsylvania,Philadelphia,"1,584,064",PA,39.864998,-75.275196
Pennsylvania,Pittsburgh,"300,286",PA,40.474536,-79.952524
Rhode Island,Providence,"179,883",RI,41.8255,-71.4114
South Carolina,Charleston,"137,566",SC,32.962223,-79.86533
South Carolina,Columbia,"131,674",SC,34.072613,-81.17961700000001
South Carolina,Greenville,"70,635",SC,34.847165000000004,-82.406049
South Carolina,Hilton Head Island,"39,861",SC,32.1632,-80.7533
South Carolina,Myrtle Beach,"34,695",SC,33.758701,-78.804448
South Dakota,Rapid City,"77,503",SD,44.077040999999994,-103.200259
South Dakota,Sioux Falls,"183,793",SD,43.488,-96.7343
Tennessee,Chattanooga,"182,799",TN,35.0455,-85.3081
Tennessee,Gatlinburg,"3,860",TN,35.728976,-83.48740600000001
Tennessee,Knoxville,"187,603",TN,35.9609,-83.9189
Tennessee,Memphis,"651,073",TN,35.0337,-89.9343
Tennessee,Nashville,"670,820",TN,36.167028,-86.778441
Texas,Amarillo,"199,371",TX,35.203238,-101.842052
Texas,Austin,"978,908",TX,30.210691999999998,-97.94274899999999
Texas,Dallas,"1,343,573",TX,32.996848,-96.792113
Texas,El Paso,"681,728",TX,31.758411,-106.478311
Texas,Fort Worth,"909,585",TX,32.7469,-97.3268
Texas,Houston,"2,320,268",TX,29.596156,-95.458709
Texas,San Antonio,"1,547,253",TX,29.468525,-98.526352
Utah,Park City,"8,526",UT,40.695724,-111.528021
Utah,Provo,"116,618",UT,40.231949,-111.675504
Utah,Salt Lake City,"200,567",UT,40.755851,-111.896657
Vermont,Burlington,"42,819",VT,44.484023,-73.219875
Virginia,Chesapeake,"244,835",VA,36.735246000000004,-76.23843000000001
Virginia,Norfolk,"242,742",VA,36.8466,-76.2855
Virginia,Richmond,"230,436",VA,37.453158,-77.469798
Virginia,Virginia Beach,"449,974",VA,36.8527,-75.9783
Virginia,Williamsburg,"14,954",VA,37.262698,-76.701686
Washington,Seattle,"753,675",WA,47.611435,-122.33045600000001
Washington,Spokane,"222,081",WA,47.666484999999994,-117.436527
Washington,Tacoma,"217,827",WA,47.2764,-122.7583
West Virginia,Charleston,"46,536",WV,38.349000000000004,-81.630606
Wisconsin,Green Bay,"104,578",WI,44.485313,-88.016868
Wisconsin,Madison,"259,680",WI,43.073,-89.3817
Wisconsin,Milwaukee,"590,157",WI,43.0343,-87.9151
Wyoming,Cheyenne,"64,235",WY,41.143719,-104.796234
Wyoming,Jackson,"10,559",WY,43.460734,-110.766277
